time,x,z
2.44,634.395,10670.1
2.45,636.994,10670.1
2.46,639.594,10670.1
2.47,642.194,10670.1
2.48,644.794,10670.1
2.49,647.394,10670.1
2.5,649.994,10670.1
2.51,652.594,10670.1
2.52,655.194,10670.1
2.53,657.794,10670.1
2.54,660.394,10670.1
2.55,662.994,10670.1
2.56,665.594,10670.1
2.57,668.194,10670.1
2.58,670.794,10670.1
2.59,673.394,10670.1
2.6,675.994,10670.1
2.61,678.594,10670.1
2.62,681.193,10670.1
2.63,683.793,10670.1
2.64,686.393,10670.1
2.65,688.993,10670.1
2.66,691.593,10670.1
2.67,694.193,10670.1
2.68,696.793,10670.1
2.69,699.393,10670.1
2.7,701.993,10670.1
2.71,704.593,10670.1
2.72,707.193,10670.1
2.73,709.793,10670.1
2.74,712.393,10670.1
2.75,714.993,10670.1
2.76,717.593,10670.1
2.77,720.193,10670.1
2.78,722.792,10670.1
2.79,725.392,10670.1
2.8,727.992,10670.1
2.81,730.592,10670.1
2.82,733.192,10670.1
2.83,735.792,10670.1
2.84,738.392,10670.1
2.85,740.992,10670.1
2.86,743.592,10670.1
2.87,746.192,10670.1
2.88,748.792,10670.1
2.89,751.392,10670.1
2.9,753.992,10670.1
2.91,756.592,10670.1
2.92,759.191,10670.1
2.93,761.791,10670.1
2.94,764.391,10670.1
2.95,766.991,10670.1
2.96,769.591,10670.1
2.97,772.191,10670.1
2.98,774.791,10670.1
2.99,777.391,10670.1
3,779.991,10670.1
3.01,782.591,10670.1
3.02,785.191,10670.1
3.03,787.791,10670.1
3.04,790.391,10670.1
3.05,792.99,10670.1
3.06,795.59,10670.1
3.07,798.19,10670.1
3.08,800.79,10670.1
3.09,803.39,10670.1
3.1,805.99,10670.2
3.11,808.59,10670.2
3.12,811.19,10670.2
3.13,813.79,10670.2
3.14,816.39,10670.2
3.15,818.99,10670.2
3.16,821.59,10670.2
3.17,824.189,10670.2
3.18,826.789,10670.2
3.19,829.389,10670.2
3.2,831.989,10670.2
3.21,834.589,10670.2
3.22,837.189,10670.2
3.23,839.789,10670.2
3.24,842.389,10670.2
3.25,844.989,10670.2
3.26,847.589,10670.2
3.27,850.189,10670.2
3.28,852.788,10670.2
3.29,855.388,10670.2
3.3,857.988,10670.2
3.31,860.588,10670.2
3.32,863.188,10670.2
3.33,865.788,10670.2
3.34,868.388,10670.2
3.35,870.988,10670.2
3.36,873.588,10670.2
3.37,876.188,10670.2
3.38,878.788,10670.2
3.39,881.387,10670.2
3.4,883.987,10670.2
3.41,886.587,10670.2
3.42,889.187,10670.2
3.43,891.787,10670.2
3.44,894.387,10670.2
3.45,896.987,10670.2
3.46,899.587,10670.2
3.47,902.187,10670.2
3.48,904.787,10670.2
3.49,907.386,10670.2
3.5,909.986,10670.2
3.51,912.586,10670.2
3.52,915.186,10670.2
3.53,917.786,10670.2
3.54,920.386,10670.2
3.55,922.986,10670.2
3.56,925.586,10670.2
3.57,928.186,10670.2
3.58,930.785,10670.2
3.59,933.385,10670.2
3.6,935.985,10670.2
3.61,938.585,10670.2
3.62,941.185,10670.2
3.63,943.785,10670.2
3.64,946.385,10670.2
3.65,948.985,10670.2
3.66,951.585,10670.2
3.67,954.185,10670.2
3.68,956.784,10670.2
3.69,959.384,10670.2
3.7,961.984,10670.2
3.71,964.584,10670.2
3.72,967.184,10670.2
3.73,969.784,10670.2
3.74,972.384,10670.2
3.75,974.984,10670.2
3.76,977.583,10670.2
3.77,980.183,10670.2
3.78,982.783,10670.2
3.79,985.383,10670.2
3.8,987.983,10670.2
3.81,990.583,10670.2
3.82,993.183,10670.2
3.83,995.783,10670.2
3.84,998.383,10670.2
3.85,1000.98,10670.2
3.86,1003.58,10670.2
3.87,1006.18,10670.2
3.88,1008.78,10670.2
3.89,1011.38,10670.2
3.9,1013.98,10670.2
3.91,1016.58,10670.2
3.92,1019.18,10670.2
3.93,1021.78,10670.2
3.94,1024.38,10670.2
3.95,1026.98,10670.2
3.96,1029.58,10670.2
3.97,1032.18,10670.2
3.98,1034.78,10670.2
3.99,1037.38,10670.3
4,1039.98,10670.3
4.01,1042.58,10670.3
4.02,1045.18,10670.3
4.03,1047.78,10670.3
4.04,1050.38,10670.3
4.05,1052.98,10670.3
4.06,1055.58,10670.3
4.07,1058.18,10670.3
4.08,1060.78,10670.3
4.09,1063.38,10670.3
4.1,1065.98,10670.3
4.11,1068.58,10670.3
4.12,1071.18,10670.3
4.13,1073.78,10670.3
4.14,1076.38,10670.3
4.15,1078.98,10670.3
4.16,1081.58,10670.3
4.17,1084.18,10670.3
4.18,1086.78,10670.3
4.19,1089.38,10670.3
4.2,1091.98,10670.3
4.21,1094.58,10670.3
4.22,1097.18,10670.3
4.23,1099.78,10670.3
4.24,1102.38,10670.3
4.25,1104.98,10670.3
4.26,1107.58,10670.3
4.27,1110.18,10670.3
4.28,1112.78,10670.3
4.29,1115.38,10670.3
4.3,1117.98,10670.3
4.31,1120.58,10670.3
4.32,1123.18,10670.3
4.33,1125.78,10670.3
4.34,1128.38,10670.3
4.35,1130.98,10670.3
4.36,1133.58,10670.3
4.37,1136.18,10670.3
4.38,1138.78,10670.3
4.39,1141.38,10670.3
4.4,1143.97,10670.3
4.41,1146.57,10670.3
4.42,1149.17,10670.3
4.43,1151.77,10670.3
4.44,1154.37,10670.3
4.45,1156.97,10670.3
4.46,1159.57,10670.3
4.47,1162.17,10670.3
4.48,1164.77,10670.3
4.49,1167.37,10670.3
4.5,1169.97,10670.3
4.51,1172.57,10670.3
4.52,1175.17,10670.3
4.53,1177.77,10670.3
4.54,1180.37,10670.3
4.55,1182.97,10670.3
4.56,1185.57,10670.3
4.57,1188.17,10670.3
4.58,1190.77,10670.3
4.59,1193.37,10670.3
4.6,1195.97,10670.3
4.61,1198.57,10670.3
4.62,1201.17,10670.3
4.63,1203.77,10670.3
4.64,1206.37,10670.3
4.65,1208.97,10670.3
4.66,1211.57,10670.3
4.67,1214.17,10670.3
4.68,1216.77,10670.3
4.69,1219.37,10670.3
4.7,1221.97,10670.3
4.71,1224.57,10670.3
4.72,1227.17,10670.4
4.73,1229.77,10670.4
4.74,1232.37,10670.4
4.75,1234.97,10670.4
4.76,1237.57,10670.4
4.77,1240.17,10670.4
4.78,1242.77,10670.4
4.79,1245.37,10670.4
4.8,1247.97,10670.4
4.81,1250.57,10670.4
4.82,1253.17,10670.4
4.83,1255.77,10670.4
4.84,1258.37,10670.4
4.85,1260.97,10670.4
4.86,1263.57,10670.4
4.87,1266.17,10670.4
4.88,1268.77,10670.4
4.89,1271.37,10670.4
4.9,1273.97,10670.4
4.91,1276.57,10670.4
4.92,1279.17,10670.4
4.93,1281.77,10670.4
4.94,1284.37,10670.4
4.95,1286.97,10670.4
4.96,1289.57,10670.4
4.97,1292.17,10670.4
4.98,1294.76,10670.4
4.99,1297.36,10670.4
