# fitness=158.751
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
2,7,7,7,5,0.904337,-0.80503
2,8,7,7,5,0.837589,0.0129705
2,9,7,7,5,0.900661,-0.65828
2,9,7,7,6,0.966153,0.677019
2,9,7,6,6,0.62774,-0.410541
2,9,7,6,7,0.390254,-0.550435
2,9,7,7,7,0.488499,0.393475
2,9,7,8,7,0.121447,0.606781
2,9,7,9,7,0.315918,-0.368865
2,9,7,8,8,0.867725,-0.133648
2,9,7,9,8,0.762976,-0.928946
2,9,7,9,9,0.00734479,-0.603442
4,0,5,1,0,0.588909,-0.199439
3,0,5,1,0,0.0129433,-0.977426
3,0,5,2,1,0.203932,-0.149334
3,0,5,3,1,0.656512,0.797173
3,0,5,3,2,0.25327,0.270417
3,0,5,4,2,0.867811,0.346931
3,1,5,3,2,0.791074,0.407638
3,1,5,4,2,0.502236,-0.788464
3,1,5,4,3,0.932839,0.648723
3,1,5,5,3,0.841964,0.265213
3,1,5,6,3,0.59437,0.675465
3,2,5,6,3,0.548346,0.998399
3,2,5,5,3,0.619718,-0.550402
3,2,5,4,3,0.151849,-0.389289
3,3,5,5,3,0.687775,-0.54311
3,3,5,5,4,0.0883496,0.467416
3,3,5,6,4,0.382826,-0.710825
3,4,5,6,4,0.95927,-0.811367
3,5,5,6,4,0.430072,-0.954961
3,6,5,6,5,0.0828569,0.982432
3,7,5,6,5,0.227732,0.865607
3,7,5,7,5,0.3302,0.589627
3,8,5,7,5,0.266187,-0.680305
3,8,5,7,6,0.330495,0.658852
3,8,5,8,6,0.865244,0.401031
3,9,5,7,6,0.474779,-0.677817
3,9,5,6,6,0.425826,0.789111
4,0,5,0,1,0.993223,0.330178
4,0,5,1,1,0.930509,0.208333
4,0,5,2,1,0.26377,-0.43909
3,0,5,2,2,0.829052,0.207652
3,1,5,3,3,0.571561,0.711026
3,3,5,4,3,0.675806,-0.280551
3,8,5,8,5,0.582473,-0.622079
3,9,5,8,6,0.0455296,0.77704
3,9,5,9,6,0.534881,-0.300029
3,9,5,9,7,0.924896,-0.28311
3,9,4,9,6,0.813903,0.823878
3,9,4,8,6,0.124441,-0.771648
3,0,4,0,0,0.512188,-0.851261
2,0,5,0,0,0.278049,-0.162826
2,0,6,0,0,0.473392,-0.0609203
2,0,6,0,1,0.323708,0.989625
