# fitness=162.568
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
4,7,7,7,5,0.0393911,0.943442
4,8,7,7,5,0.272067,0.970992
4,9,7,7,5,0.305806,0.14239
4,9,7,7,6,0.531321,-0.955058
4,9,7,6,6,0.626518,0.227353
4,9,7,5,6,0.581649,0.147871
4,0,7,0,1,0.861866,0.0240975
3,0,7,0,1,0.843738,-0.130444
3,0,7,1,1,0.464709,-0.882366
3,0,7,2,1,0.985291,-0.662266
3,0,7,1,2,0.210409,0.968524
3,0,7,2,2,0.198741,0.000488597
3,0,7,3,2,0.401702,0.290327
3,0,7,4,2,0.857826,0.155809
3,0,7,3,3,0.635721,-0.738815
3,0,7,2,3,0.552471,0.192097
3,1,7,3,3,0.462977,-0.459363
3,1,7,2,3,0.678342,-0.394007
2,1,7,2,3,0.674411,0.817477
2,0,7,2,3,0.958535,0.901166
2,0,7,3,3,0.0842244,0.966492
2,1,7,5,3,0.274279,0.908669
2,2,7,4,3,0.796618,-0.0871428
2,2,7,5,3,0.28166,0.168199
2,2,7,5,4,0.440264,-0.130644
2,3,7,5,4,0.56969,0.316902
2,3,7,6,4,0.0267115,0.0993775
2,4,7,6,4,0.616764,-0.680017
2,5,7,6,4,0.216668,-0.143441
2,6,7,6,5,0.554754,-0.338343
2,7,7,6,5,0.586523,-0.0522841
2,7,7,7,5,0.851085,-0.799817
2,8,7,7,5,0.191578,-0.947498
2,9,7,6,5,0.510112,-0.848747
2,9,7,5,5,0.976031,0.631324
2,9,7,4,5,0.916337,-0.193966
2,8,7,4,5,0.188133,-0.760232
2,8,7,5,5,0.361616,0.562142
2,7,7,4,5,0.187093,0.137238
2,6,7,3,5,0.941219,-0.826371
2,5,7,3,4,0.868069,-0.788479
2,4,7,3,4,0.576794,0.320532
2,3,7,3,4,0.382936,-0.987484
2,3,7,4,4,0.271015,0.101077
2,4,7,5,4,0.467438,-0.0528895
2,5,7,5,4,0.593081,-0.688626
2,9,7,7,5,0.400281,0.240496
2,9,7,7,6,0.102618,-0.747937
2,9,7,7,7,0.465099,0.656875
2,9,7,8,7,0.80014,0.278083
2,9,7,9,7,0.528467,0.409881
3,9,7,9,7,0.867018,-0.0268955
3,9,7,8,7,0.541134,0.146777
3,9,7,8,8,0.768213,-0.0732661
3,9,7,9,8,0.270077,-0.791441
4,0,5,0,1,0.343701,0.476725
3,0,5,1,2,0.00788563,0.388854
3,0,6,5,2,0.767278,0.685854
3,0,5,5,2,0.768854,-0.152058
3,0,5,4,2,0.628759,0.0265662
3,1,5,4,2,0.195474,0.50813
3,1,5,4,3,0.468058,0.792395
3,1,5,3,3,0.623764,-0.0853803
3,2,5,4,3,0.574604,0.820627
3,2,5,3,3,0.27008,0.0610642
3,2,5,2,3,0.922076,0.925874
3,2,6,3,3,0.218206,-0.847528
3,2,6,2,3,0.949526,-0.97811
3,1,6,2,3,0.491015,0.849975
3,1,6,1,3,0.677768,-0.615889
3,1,6,3,3,0.168369,0.589671
3,3,6,7,4,0.475274,0.654686
3,4,6,7,4,0.898234,0.723775
3,5,6,7,4,0.366701,-0.762917
3,5,5,7,4,0.606668,0.0560528
3,5,5,8,4,0.692482,-0.621426
3,6,5,8,5,0.725061,-0.450519
3,8,5,6,5,0.571158,0.32057
3,8,5,6,6,0.0871671,0.152476
3,2,5,5,3,0.128135,0.727357
3,3,5,7,3,0.230411,0.366629
3,2,5,7,3,0.980967,0.664621
3,4,5,6,4,0.777106,0.608065
3,5,5,6,4,0.0326718,0.722693
3,6,5,7,5,0.0592729,0.664955
2,0,6,2,1,0.962269,-0.149321
2,0,6,3,2,0.0561947,0.697441
2,0,6,4,2,0.459504,0.0523132
2,0,6,3,3,0.255038,0.129941
2,1,6,3,3,0.237272,0.297973
2,2,6,3,3,0.642778,-0.590628
2,2,6,2,3,0.277113,-0.821091
2,1,6,2,3,0.632491,0.0234876
2,2,7,3,3,0.639644,0.987559
2,2,7,2,3,0.161461,-0.384315
2,1,7,3,3,0.159363,-0.512005
2,2,7,6,3,0.62255,0.604782
2,3,6,7,4,0.73125,-0.909519
2,4,6,7,4,0.91104,-0.272217
2,5,6,7,4,0.0476762,-0.00520706
2,7,6,5,5,0.387501,0.500348
2,8,6,5,5,0.675123,0.314498
2,8,6,6,6,0.700737,-0.272638
2,9,6,5,6,0.55177,0.259974
3,0,6,3,3,0.766684,0.905747
3,3,6,6,3,0.0683283,0.494582
3,5,6,6,4,0.060699,-0.944563
3,6,6,6,5,0.603487,-0.725007
3,7,6,6,5,0.147016,-0.736059
3,9,6,6,7,0.517419,-0.642705
2,0,6,4,3,0.0577136,0.385456
2,2,6,6,3,0.741474,-0.250495
2,5,6,5,4,0.582218,-0.0327258
2,6,6,5,5,0.967401,-0.617684
3,4,6,6,4,0.444814,0.623269
3,6,6,7,5,0.211553,0.760295
1,0,7,2,2,0.903845,-0.0535636
1,0,7,3,2,0.337345,-0.728246
1,0,7,3,3,0.531536,0.464958
1,0,7,4,3,0.116518,-0.122392
1,1,7,4,3,0.0545628,0.524794
1,2,7,4,3,0.443064,0.502852
1,2,7,5,3,0.318058,-0.755865
1,2,7,5,4,0.121124,-0.345999
1,3,7,5,4,0.0859268,-0.112967
1,3,7,4,4,0.870898,-0.411459
1,4,7,5,4,0.105842,0.428678
1,4,7,4,4,0.65485,-0.378651
1,5,7,5,4,0.444221,-0.285169
1,5,7,4,4,0.516523,-0.751947
1,6,7,5,5,0.595934,-0.167318
1,7,7,5,5,0.784079,0.545405
1,7,7,6,5,0.408593,0.960431
1,8,7,6,5,0.161633,-0.035732
1,8,7,5,5,0.509932,0.833529
1,9,7,6,5,0.737634,0.14092
1,9,7,6,6,0.801569,-0.0952095
1,9,7,7,6,0.412269,0.318478
4,0,5,1,0,0.857315,0.831555
3,0,5,1,0,0.784784,-0.784915
2,5,7,4,4,0.913377,0.477157
2,6,7,5,5,0.483783,-0.212893
2,6,7,4,5,0.745029,-0.760654
2,4,5,9,4,0.533938,-0.240625
2,4,5,8,4,0.0231539,-0.968263
2,4,4,8,4,0.794891,0.636124
2,4,4,7,4,0.68248,0.0422054
2,5,4,7,4,0.203832,-0.793277
2,5,4,6,4,0.660928,0.976417
2,6,4,6,5,0.577832,-0.581821
2,6,4,5,5,0.254014,-0.0998395
2,6,4,4,5,0.724394,0.168248
2,5,4,5,4,0.571621,0.681142
2,7,4,5,5,0.657208,-0.40178
2,7,4,4,5,0.597064,-0.371791
2,5,4,4,4,0.962382,0.422948
2,6,4,7,5,0.14935,0.999771
2,7,4,7,5,0.209299,-0.775051
2,8,4,7,5,0.65422,0.369974
2,8,4,8,5,0.903398,-0.907364
2,8,4,8,6,0.0907777,0.903127
2,9,4,8,6,0.0886559,-0.64875
2,9,4,8,7,0.711228,0.620475
2,9,4,7,7,0.755735,-0.693176
2,9,4,6,7,0.89967,-0.91653
2,9,4,6,6,0.868501,-0.279426
3,0,4,0,0,0.141862,0.447063
3,0,5,3,2,0.41327,0.440378
3,1,5,3,2,0.497224,0.858162
3,1,5,2,2,0.967492,0.53457
3,1,5,2,3,0.382768,-0.242237
2,9,6,7,7,0.895742,0.0455995
2,9,6,8,7,0.0278811,0.350503
2,0,7,0,1,0.327637,0.141893
2,0,7,1,1,0.372543,0.276352
2,0,7,0,2,0.37375,-0.056543
1,0,7,1,2,0.993666,-0.0756891
1,0,7,2,3,0.545358,0.92556
1,0,7,5,3,0.949058,-0.908807
1,1,7,5,3,0.9276,-0.138983
1,1,7,6,3,0.255637,0.706814
1,2,7,6,3,0.366062,-0.502281
1,2,7,6,4,0.656331,0.812671
1,3,7,6,4,0.492942,-0.282319
1,4,7,6,4,0.397296,0.0590511
1,5,7,6,4,0.783035,0.255186
1,6,7,6,5,0.874212,0.564334
1,8,7,7,5,0.149824,-0.316957
1,9,7,7,5,0.831583,-0.869046
1,9,7,6,7,0.0482927,-0.13158
1,9,7,7,7,0.224651,0.540923
1,9,7,8,7,0.0553083,-0.546615
2,9,7,9,8,0.0243579,0.423657
2,9,6,9,8,0.722164,-0.5067
3,1,6,1,2,0.750923,-0.203705
2,4,5,7,4,0.786239,0.580658
2,5,5,7,4,0.767542,0.192832
2,5,5,6,4,0.660597,0.323583
2,5,5,5,4,0.685719,-0.513653
2,6,5,5,5,0.270522,-0.642335
2,6,5,6,5,0.486249,0.673394
2,7,5,6,5,0.186873,0.00715985
3,0,6,2,0,0.103194,-0.291968
2,0,6,2,3,0.664553,-0.303416
2,0,6,1,3,0.606197,0.714206
2,2,7,7,3,0.211952,-0.982989
2,2,7,7,4,0.114108,0.670657
2,3,7,7,4,0.516763,-0.222794
2,4,7,7,4,0.853905,0.153438
2,7,7,5,5,0.500921,-0.0788271
2,4,7,2,4,0.0568207,0.698517
2,3,6,2,4,0.346554,0.851774
2,0,6,0,0,0.41445,0.358946
2,3,6,6,3,0.562585,0.0601553
2,5,6,4,4,0.731944,-0.962944
2,5,6,3,4,0.460575,-0.733175
2,4,6,3,4,0.396699,0.789079
5,0,5,1,0,0.75695,0.80486
5,0,5,0,0,0.0153945,-0.0522165
5,0,5,1,1,0.501348,-0.622358
5,0,5,0,1,0.734768,-0.927909
4,0,5,1,1,0.646933,0.424848
4,0,6,1,1,0.943207,0.349646
4,0,6,2,1,0.171723,-0.09493
4,0,6,2,2,0.942154,0.139037
4,0,6,3,2,0.51289,0.0405755
4,1,6,3,2,0.491189,0.100316
4,1,6,2,2,0.701714,-0.557785
4,1,6,2,3,0.188236,-0.843073
4,1,6,3,3,0.844248,0.0300361
4,2,6,3,3,0.154449,0.267058
4,2,6,2,3,0.222668,-0.0383189
4,1,6,4,3,0.2294,-0.296482
4,2,6,4,3,0.0167912,-0.249115
4,2,6,5,3,0.743121,-0.82948
4,3,6,4,3,0.331573,-0.852201
4,3,6,4,4,0.66666,-0.258052
4,3,6,5,4,0.965783,0.443668
4,3,6,6,4,0.488224,0.647093
4,4,6,6,4,0.23605,-0.85172
4,5,6,6,4,0.120967,-0.601398
4,5,6,5,4,0.860472,0.447062
4,6,6,6,5,0.600794,0.669026
4,7,6,6,5,0.262542,-0.277958
4,7,6,7,5,0.319112,-0.263317
4,8,6,7,5,0.578254,0.993459
4,8,6,6,5,0.713912,0.426469
4,8,6,6,6,0.679105,0.615172
4,0,6,0,0,0.553244,0.3368
2,1,7,1,3,0.468891,-0.142805
2,0,7,1,3,0.00852304,0.835676
2,9,6,8,6,0.162989,0.833808
2,9,6,9,6,0.613993,0.606502
2,9,6,9,7,0.0492873,0.918136
4,0,7,1,1,0.270469,0.0428704
1,1,7,3,3,0.464416,0.789029
1,2,7,4,4,0.0802315,-0.986165
1,9,7,8,6,0.487461,-0.0526884
1,9,7,9,7,0.388673,-0.165194
1,9,7,9,8,0.0117054,0.0224368
2,9,7,9,9,0.0334531,-0.0230325
3,0,6,2,3,0.208966,0.931874
2,9,6,6,7,0.767527,-0.467348
2,8,6,5,6,0.545891,0.039158
3,0,6,1,3,0.683732,0.736289
3,9,5,9,7,0.721449,-0.966136
2,0,7,2,1,0.843529,-0.601762
1,0,7,0,2,0.383101,0.677179
1,0,7,0,1,0.399217,-0.768833
1,0,7,1,1,0.259086,0.655051
1,0,7,4,2,0.213047,0.370057
1,4,7,3,4,0.505004,0.328559
1,6,7,4,5,0.11026,-0.0970067
1,7,7,7,5,0.417294,0.956154
4,0,6,0,1,0.49518,0.241259
3,0,7,0,2,0.725107,0.0279313
3,1,7,1,3,0.00682868,-0.408476
3,0,7,1,3,0.065955,0.714535
2,0,7,5,3,0.353777,-0.27994
2,2,7,4,4,0.805991,-0.311395
2,3,7,2,4,0.469012,0.853154
2,2,7,2,4,0.464316,0.765724
2,2,7,1,3,0.732601,0.846902
1,4,6,6,4,0.0119374,-0.958845
1,5,6,6,4,0.323743,-0.0166502
1,6,6,6,5,0.676082,-0.476591
1,7,6,6,5,0.602241,-0.995213
1,8,6,6,5,0.341064,0.731787
1,8,6,7,5,0.0919782,-0.727476
1,9,6,7,6,0.320039,-0.515956
5,0,7,4,2,0.956475,0.603531
5,0,7,5,2,0.403576,-0.524008
4,0,7,4,3,0.993332,0.197253
4,2,7,4,3,0.862747,0.861236
4,2,7,5,3,0.32071,-0.162116
4,2,7,5,4,0.424455,0.0266937
4,3,7,5,4,0.395633,0.692204
4,3,7,4,4,0.860698,-0.225845
4,3,7,3,4,0.0915871,-0.687113
4,3,7,2,4,0.0980341,0.980801
4,2,7,2,4,0.0850567,-0.823754
4,2,7,2,3,0.539317,0.26262
4,2,7,1,3,0.556057,-0.687248
4,1,7,1,3,0.273878,-0.146137
4,1,7,2,3,0.658837,-0.925494
4,4,7,5,4,0.215665,-0.783958
4,5,7,5,4,0.686423,0.931986
4,6,7,5,5,0.393672,0.648628
4,6,7,6,5,0.408926,-0.0508655
4,7,7,6,5,0.149338,0.171156
4,7,7,5,5,0.62951,0.313044
4,7,7,4,5,0.995455,-0.432904
2,0,5,1,2,0.0164972,-0.242584
2,0,5,2,2,0.435434,-0.139842
2,1,6,4,2,0.281115,0.862835
2,1,6,1,3,0.848529,-0.203335
2,1,6,1,2,0.98191,-0.493828
2,4,6,4,4,0.600113,-0.434467
2,3,6,2,3,0.232272,0.125806
1,1,6,2,3,0.168615,0.281479
1,1,6,1,3,0.496498,0.510123
1,1,6,3,3,0.935791,-0.245043
1,2,6,5,3,0.776324,0.929352
1,3,6,5,3,0.118658,0.143967
1,3,6,5,4,0.579158,-0.753462
1,3,6,4,4,0.679625,0.383368
1,3,6,3,4,0.648694,0.347959
1,4,6,5,4,0.302076,-0.259955
1,4,6,4,4,0.267754,0.134229
1,5,6,5,4,0.187553,-0.784839
1,7,6,7,5,0.911112,0.844459
1,8,6,8,5,0.332056,-0.333204
1,8,6,8,6,0.17659,-0.948559
1,9,6,8,6,0.282916,-0.751916
1,9,6,9,6,0.61627,0.167231
