# fitness=158.727
# z_env,vz_env,vtot_env,pitch_env,gamma_env,cmd_thrust,cmd_prof
5,0,7,0,2,0.747174,-0.285541
5,0,7,0,1,0.892042,0.167648
5,0,7,1,1,0.100515,0.76786
5,0,7,4,2,0.903989,-0.0205405
5,0,7,5,2,0.364319,0.465959
4,0,7,5,2,0.357415,0.154588
4,0,7,4,2,0.164161,-0.328351
4,0,7,3,2,0.690576,-0.580443
4,0,7,2,2,0.0549377,0.562055
4,0,7,1,2,0.701928,-0.805908
4,0,7,2,3,0.82591,-0.315544
4,0,7,1,3,0.93822,0.405913
4,0,7,3,3,0.0657147,0.0847016
3,0,7,2,2,0.886942,-0.375693
3,0,7,3,2,0.301461,0.865134
3,0,7,4,2,0.188754,0.818059
3,0,7,4,3,0.00577181,-0.295753
3,0,7,5,3,0.918322,-0.921433
3,1,7,4,3,0.492141,0.53865
3,1,7,5,3,0.452379,-0.801133
3,2,7,5,3,0.414333,-0.20664
3,2,7,4,3,0.929607,0.200476
3,2,7,4,4,0.370541,-0.994422
3,3,7,4,4,0.663764,-0.643765
3,3,7,3,4,0.275207,0.754674
3,2,7,3,4,0.365018,0.865973
3,2,7,3,3,0.834151,-0.00713828
3,2,7,5,4,0.358526,0.482101
3,3,7,5,4,0.546767,-0.273636
3,3,7,2,4,0.485029,-0.106418
3,2,7,2,4,0.456662,0.721737
3,2,7,2,3,0.587176,0.0442307
3,1,7,2,3,0.3311,0.440138
3,1,7,1,3,0.489108,-0.678789
3,0,7,2,3,0.227652,0.842022
3,0,7,1,3,0.951576,0.226346
3,0,7,3,3,0.862603,0.419769
3,4,7,5,4,0.436687,0.0407404
3,4,7,6,4,0.568685,0.404039
3,5,7,6,4,0.624072,-0.377656
3,5,7,7,4,0.175603,-0.473959
3,6,7,7,5,0.902248,-0.614079
3,7,7,7,5,0.500937,0.761806
3,8,7,7,5,0.0706171,-0.0622415
3,9,7,7,5,0.873813,-0.666653
3,9,7,7,6,0.0406833,-0.273619
3,9,7,8,6,0.911494,-0.212091
3,9,7,7,7,0.555693,-0.331822
3,9,7,8,7,0.152835,-0.428049
4,0,7,4,3,0.678228,0.146458
4,2,7,4,3,0.101631,-0.523615
4,2,7,5,4,0.361138,-0.25007
4,3,7,5,4,0.0545636,-0.243686
4,4,7,6,4,0.101309,0.480084
4,7,7,6,5,0.979896,-0.672156
4,7,7,5,5,0.605263,-0.872812
4,0,5,0,1,0.955208,0.528235
3,0,7,1,2,0.143218,0.493762
3,1,7,3,3,0.288312,0.89182
2,1,7,4,3,0.941902,-0.36274
2,3,6,7,4,0.377203,0.0987065
2,8,6,6,6,0.689824,0.4828
2,9,6,8,7,0.938893,0.656795
3,9,6,9,7,0.184927,-0.260659
5,0,7,0,0,0.78991,0.0261055
4,0,7,0,0,0.267527,-0.988703
2,0,7,4,3,0.784254,-0.878856
2,1,7,3,3,0.118213,0.547726
2,1,7,2,3,0.905929,-0.202171
1,1,7,3,3,0.110937,0.328548
1,1,7,2,3,0.672836,0.969674
0,1,7,2,3,0.415497,0.833018
0,0,7,2,3,0.0299659,-0.912639
0,0,7,3,3,0.351717,-0.664492
0,1,7,3,3,0.554138,-0.883594
0,1,7,4,3,0.269358,-0.819214
0,2,7,3,3,0.533371,-0.324856
0,2,7,4,3,0.101909,0.802326
0,2,7,4,4,0.546581,0.851258
0,2,7,5,4,0.691401,0.453727
0,3,7,5,4,0.895495,0.113173
0,3,7,6,4,0.103414,-0.126597
0,4,7,6,4,0.629617,0.0337317
0,4,7,7,4,0.502251,0.14173
0,5,7,7,4,0.477288,0.587138
0,6,7,7,5,0.709449,0.405774
0,7,7,7,5,0.514731,0.432994
0,8,7,7,5,0.825769,-0.487912
0,8,7,6,5,0.304518,0.416689
0,9,7,6,5,0.943159,0.776985
0,9,7,6,6,0.00903023,-0.40739
0,9,7,5,6,0.452561,-0.500098
1,9,7,5,6,0.841307,-0.608377
1,9,7,4,6,0.81863,0.924106
1,9,7,4,5,0.302398,-0.303192
1,8,7,4,5,0.928682,-0.812744
1,7,7,4,5,0.12436,0.62867
1,6,7,3,5,0.544815,0.764037
1,6,7,4,5,0.450773,-0.690871
1,5,7,4,4,0.41827,-0.227395
1,4,7,4,4,0.932878,0.633863
1,4,7,3,4,0.536766,-0.491498
1,3,7,3,4,0.4943,0.115991
1,3,7,2,4,0.635331,0.519316
1,2,7,2,4,0.412588,0.318637
1,2,7,3,4,0.339885,0.358996
1,2,7,3,3,0.330775,0.809194
1,2,7,4,3,0.965974,-0.571986
0,7,7,6,5,0.222539,-0.346837
0,9,7,7,5,0.0532713,0.991318
0,9,7,7,6,0.0753096,0.531075
1,9,7,7,6,0.624923,-0.105328
1,9,7,7,7,0.77361,-0.508571
1,9,7,6,7,0.305383,0.0553321
1,9,7,6,6,0.820512,0.682187
4,8,7,4,5,0.0342399,-0.526809
4,7,7,4,5,0.450925,-0.839386
4,7,7,3,5,0.295901,-0.051214
4,6,7,3,5,0.814314,-0.931076
4,5,7,3,4,0.444102,0.125275
4,4,7,3,4,0.730853,0.921878
4,4,7,4,4,0.86463,0.204361
4,4,7,5,4,0.521476,0.215613
4,5,7,5,4,0.980013,0.834214
4,5,7,6,4,0.130838,-0.562257
4,6,7,6,5,0.791175,-0.693043
4,8,7,7,5,0.0406622,0.736529
4,9,7,7,5,0.16444,0.444746
4,9,7,7,6,0.108021,-0.677455
4,9,7,8,6,0.817663,-0.968516
4,9,7,9,6,0.481733,0.661905
4,9,7,9,7,0.310413,0.190905
4,9,7,8,7,0.285139,0.00230863
5,9,7,8,7,0.187117,0.835057
5,9,7,9,7,0.726502,0.728515
2,0,7,2,2,0.185095,0.546208
2,0,7,3,2,0.537484,-0.19392
2,0,7,3,3,0.56467,-0.365305
0,9,7,8,6,0.198324,0.511358
0,9,7,8,7,0.748701,-0.21452
0,9,7,9,7,0.384759,0.560056
1,9,7,9,7,0.0773074,-0.394432
1,9,7,8,7,0.522101,-0.254766
2,1,7,5,3,0.619986,-0.433753
2,2,6,4,3,0.593891,-0.0896175
2,9,6,6,6,0.133924,0.100599
2,9,6,5,6,0.771612,-0.691902
2,8,6,5,6,0.501416,-0.356623
3,0,6,1,3,0.915268,0.0854221
3,4,6,7,4,0.200631,0.743724
3,0,6,0,2,0.306614,0.0324245
3,0,6,5,3,0.461172,-0.378135
2,2,6,3,3,0.44619,0.211175
2,2,6,2,3,0.629531,-0.3496
2,2,7,3,3,0.61832,0.923387
2,2,7,4,3,0.572743,0.184049
2,3,7,5,4,0.630867,-0.767545
2,3,7,6,4,0.00772783,0.0740226
3,0,6,4,3,0.131654,0.621388
2,4,6,4,4,0.421132,0.793351
2,5,6,5,4,0.995883,0.649789
2,6,6,5,5,0.793419,0.392364
2,7,6,5,5,0.429027,0.423679
2,2,7,3,4,0.180383,-0.785809
2,2,7,4,4,0.765463,0.656167
2,2,7,5,4,0.788863,-0.288364
2,4,7,6,4,0.168405,-0.227281
2,5,7,6,4,0.496881,-0.0577546
2,6,7,6,5,0.292294,-0.416523
2,7,7,6,5,0.0411314,0.618816
2,7,7,7,5,0.543885,-0.186356
2,8,7,7,5,0.741268,0.838065
2,8,7,6,5,0.452353,-0.980642
2,9,7,6,5,0.144822,0.220305
2,9,7,6,6,0.220926,-0.136087
2,9,7,7,6,0.388687,-0.30938
2,9,7,7,7,0.425721,0.929856
3,9,7,9,7,0.649267,0.212568
3,2,7,6,4,0.0600472,0.745324
3,3,7,6,4,0.162638,0.217667
3,4,7,4,4,0.530067,-0.754825
3,5,7,5,4,0.0551839,0.583707
3,6,7,5,5,0.289098,-0.106282
3,6,7,6,5,0.156603,0.585048
3,0,7,3,1,0.929013,-0.0294753
3,7,7,6,5,0.508234,0.701924
3,8,7,6,5,0.458477,0.459902
3,9,7,6,5,0.350238,-0.964565
3,9,7,6,6,0.0794462,-0.925908
4,0,5,1,1,0.875428,0.211725
3,1,6,4,2,0.382777,-0.245095
3,3,6,6,3,0.555165,-0.657862
3,3,6,7,4,0.0180475,-0.796494
3,8,6,6,6,0.371216,-0.134343
3,9,5,7,6,0.194038,-0.841621
2,0,7,1,1,0.127526,0.989583
2,0,7,2,1,0.233427,-0.164229
2,0,7,4,2,0.281685,0.195025
2,8,6,5,5,0.384719,-0.477139
3,2,6,7,3,0.935486,-0.0335921
3,3,5,6,3,0.0922229,0.946929
3,3,5,6,4,0.902336,0.894923
3,4,5,6,4,0.834161,0.387438
3,4,5,5,4,0.697303,0.0185905
3,5,5,5,4,0.596152,0.173895
3,6,5,5,5,0.963275,0.947411
3,6,5,6,5,0.768602,0.900628
3,7,5,6,5,0.812347,-0.0446292
3,7,5,7,5,0.0251639,0.0221337
3,8,5,7,5,0.373818,0.858857
3,8,5,6,5,0.105101,0.677379
3,8,5,5,5,0.867381,-0.437332
4,0,7,0,1,0.14904,-0.353599
4,0,7,1,1,0.321057,-0.22624
4,0,7,2,1,0.498265,0.00785419
4,2,7,3,3,0.43721,0.581494
4,2,7,2,3,0.109543,-0.730998
4,2,7,4,4,0.385225,0.305494
4,2,7,3,4,0.338038,0.491465
4,9,7,7,7,0.573412,-0.592717
4,9,7,6,7,0.547111,0.759793
4,9,7,5,7,0.185062,0.782301
2,0,7,0,1,0.916881,-0.891735
2,0,6,5,2,0.27175,-0.660787
2,0,6,5,3,0.741873,0.739455
2,0,6,0,3,0.651368,0.35209
2,0,6,0,2,0.842974,-0.046329
2,0,7,5,3,0.538672,-0.210563
2,1,6,6,3,0.581793,0.028728
2,3,6,5,3,0.262567,-0.559404
3,8,6,5,6,0.449515,-0.353116
3,0,5,1,0,0.872554,-0.896875
2,0,6,2,3,0.533261,-0.495844
2,5,6,4,4,0.00766474,-0.7053
2,6,6,4,5,0.273765,-0.739065
2,9,6,4,6,0.486821,0.368264
2,8,6,4,6,0.714064,0.353834
2,8,6,4,5,0.475817,0.430498
4,0,5,2,1,0.112302,-0.15113
4,0,5,2,2,0.0876103,-0.185715
4,0,5,3,2,0.0333455,0.204164
4,0,6,2,2,0.525238,-0.417286
4,1,6,2,2,0.589854,-0.625773
4,1,6,3,2,0.432433,-0.743544
4,1,6,3,3,0.557441,0.823708
4,1,6,4,3,0.742461,-0.612593
4,1,6,5,3,0.0827197,0.582567
4,1,6,6,3,0.233539,0.18904
4,1,5,6,3,0.7625,-0.139904
4,2,5,6,3,0.153181,0.622366
4,2,5,5,3,0.0973044,0.518916
4,2,5,4,3,0.962968,0.912422
4,2,5,3,3,0.310961,-0.0313715
4,2,6,4,3,0.870384,-0.715825
4,2,6,5,3,0.0675714,-0.272724
4,3,6,5,3,0.648464,-0.0367735
4,3,6,5,4,0.994019,0.974289
4,3,6,6,4,0.824211,0.132486
4,3,5,6,4,0.265607,-0.0126206
4,3,5,7,4,0.908261,0.845543
4,4,5,7,4,0.527097,-0.41746
4,5,5,7,4,0.616465,0.616717
4,6,5,7,5,0.117363,0.940281
4,7,5,7,5,0.43233,0.910425
4,8,5,7,5,0.800506,0.739209
4,8,5,7,6,0.717325,-0.567954
4,9,5,7,6,0.896398,0.505206
4,9,5,8,6,0.90498,-0.497974
4,9,5,8,7,0.870815,-0.663848
5,0,7,2,3,0.807611,0.974611
3,1,7,6,3,0.738852,0.14555
3,2,7,6,3,0.845872,-0.898344
3,7,7,5,5,0.703645,-0.646029
3,8,7,5,5,0.320358,0.149423
4,9,7,6,6,0.169484,-0.516454
2,0,7,2,3,0.652691,0.825521
2,0,7,1,3,0.38303,0.185495
2,0,7,1,2,0.815791,-0.390706
2,9,6,9,7,0.635545,0.202282
3,0,6,3,1,0.203195,0.589494
3,9,5,8,7,0.549981,0.561368
3,8,5,7,6,0.485199,-0.984922
2,3,6,4,3,0.751055,-0.467121
2,4,5,9,4,0.165897,-0.823783
2,4,4,9,4,0.0153602,0.0122799
2,4,4,8,4,0.754717,-0.0528384
2,4,4,7,4,0.378858,-0.239039
2,5,4,7,4,0.92615,0.0306769
2,5,4,6,4,0.511457,0.609735
2,6,4,6,5,0.998112,0.825903
2,6,4,5,5,0.381193,-0.940181
2,7,4,6,5,0.0486379,0.61223
2,7,4,7,5,0.0287804,0.964931
2,8,4,7,5,0.342327,-0.450217
2,8,4,6,5,0.52886,0.186749
2,8,4,5,5,0.520824,-0.76041
2,8,4,4,5,0.294272,0.19722
2,7,4,4,5,0.260233,-0.847063
2,7,4,3,5,0.411259,-0.766138
5,2,7,4,4,0.323882,-0.838625
5,2,7,5,4,0.763575,-0.44526
5,3,7,5,4,0.312477,-0.627876
5,3,7,6,4,0.895679,-0.19317
5,4,7,7,4,0.355509,0.11264
5,5,7,7,4,0.288392,0.841669
5,6,7,7,5,0.0625478,-0.800774
5,7,7,7,5,0.481599,-0.0912914
5,7,7,8,5,0.900948,-0.0360548
5,8,7,8,5,0.661251,0.331709
5,8,7,7,5,0.74329,0.610111
5,9,7,7,5,0.893359,0.571549
5,9,7,7,6,0.614075,-0.410642
5,9,7,8,6,0.382341,-0.69787
5,9,7,7,7,0.558007,0.825465
5,9,7,6,7,0.66481,-0.721539
2,3,7,4,4,0.254941,-0.513433
2,3,7,3,4,0.215352,0.545261
2,2,7,2,3,0.764447,-0.092626
2,2,7,5,3,0.55504,-0.785371
2,8,6,3,5,0.059312,0.735498
2,7,6,3,5,0.51458,0.190287
2,6,6,3,5,0.150927,0.428606
2,5,6,3,4,0.357704,-0.32774
2,4,6,3,4,0.378738,0.668784
2,4,5,8,4,0.489608,0.510671
2,4,5,7,4,0.932991,0.894545
2,5,5,7,4,0.604051,0.507994
2,5,5,6,4,0.438663,0.051717
2,6,5,6,5,0.462552,-0.577439
2,7,4,5,5,0.419994,-0.166124
3,0,5,3,2,0.670754,0.140422
3,0,5,4,2,0.601361,-0.429121
3,1,5,3,2,0.501595,0.756911
3,1,5,4,2,0.458297,0.355734
3,1,5,4,3,0.693963,0.511882
3,1,5,3,3,0.247085,0.13007
3,1,5,2,3,0.739934,0.260945
3,2,5,6,3,0.00320212,0.260395
3,3,5,7,4,0.505779,0.737181
3,4,5,7,4,0.92114,0.98307
3,5,5,7,4,0.543021,-0.0524845
3,6,5,7,5,0.940218,-0.467094
3,8,5,6,6,0.959741,-0.26966
3,9,5,6,6,0.397961,-0.0815486
3,9,5,5,6,0.336126,0.736756
4,0,7,1,0,0.0703275,-0.62612
3,0,7,5,2,0.763327,0.416114
3,0,7,6,3,0.538121,0.493936
5,0,5,1,0,0.313769,-0.258155
4,0,5,1,0,0.330496,-0.946532
3,0,5,2,1,0.397848,0.330623
3,0,5,2,2,0.966835,0.0820451
